,name,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_month,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,international,european_or_international,time_to_first_funding,status_encoded
14352,Intellisense,Telecommunications,100000.0,closed,UGA,other,Kampala,Kampala,1.0,1,2009,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.0,1
14355,Intelliworks,CRM,23950000.0,acquired,USA,MD,"Washington, D.C.",Bethesda,5.0,12,2004,0.0,23950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,10000000.0,4000000.0,2250000.0,0.0,0.0,0.0,0,international,0.2054794520547945,0
14361,IntenseDebate,Finance,515000.0,acquired,USA,CO,Denver,Boulder,2.0,12,2006,15000.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.6657534246575343,0
14374,Interactive Advisory Software,Software,13621199.0,acquired,USA,NJ,Atlantic City,Egg Harbor Township,5.0,1,2001,0.0,12621199.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0,international,7.950684931506849,0
14377,Interactive Mobile Advertising,Advertising,650142.0,closed,USA,CT,Hartford,Norwalk,1.0,1,2010,0.0,650142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,0.24383561643835616,1
14380,Interactive Supercomputing,Cloud Computing,15500000.0,acquired,USA,MA,Boston,Waltham,2.0,1,2004,0.0,15500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,11000000.0,0.0,0.0,0.0,0.0,0.0,0,international,2.0465753424657533,0
14385,Intercasting,Wireless,17500000.0,acquired,USA,CA,San Diego,San Diego,2.0,1,2004,0.0,17500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0,international,1.6054794520547946,0
14387,interclick,Advertising,18100000.0,acquired,USA,NY,New York City,New York,1.0,1,2007,0.0,18100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,2.958904109589041,0
14397,Interlace Medical,Health Care,20000000.0,acquired,USA,MA,Boston,Framingham,1.0,1,2006,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0,international,3.515068493150685,0
14399,InterMed Discovery,Clean Technology,9866928.0,closed,DEU,other,DEU - Other,Deutsch,1.0,1,2006,0.0,9866928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,3.0356164383561643,1
14406,International Battery,Clean Technology,35000000.0,closed,USA,PA,Allentown,Allentown,1.0,1,2008,0.0,35000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000000.0,0.0,0.0,0.0,0.0,0,international,2.345205479452055,1
14412,International Liars Poker Association,Games,1250000.0,closed,USA,MO,St. Louis,St Louis,1.0,11,2007,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,-0.07123287671232877,1
14419,Internet college internation S.L.,Software,148600.0,closed,ESP,other,Marbella,Marbella,1.0,5,2011,148600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,0.0,1
14425,Internet Pawn,Finance,7228704.0,closed,USA,CO,Denver,Centennial,5.0,1,2009,0.0,6954735.0,0.0,0.0,0.0,273969.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.3397260273972602,1
14433,interspireSubmit,SEO,500000.0,closed,other,other,other,other,1.0,4,2010,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,international,0.2493150684931507,1
14444,Intexys,Web Hosting,6356500.0,acquired,FRA,other,FRA - Other,L'union,1.0,1,2002,0.0,6356500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6356500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,4.742465753424658,0
14453,Intoan Technology,Software,1220000.0,closed,FRA,other,Paris,Paris,1.0,1,2000,0.0,1220000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,5.778082191780822,1
14460,Intradigm Corporation,Biotechnology,37400000.0,acquired,USA,CA,SF Bay Area,Palo Alto,2.0,1,2000,0.0,37400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,21400000.0,0.0,0.0,0.0,0.0,0.0,0,international,6.8931506849315065,0
14462,Intralign,Healthcare Services,0.0,acquired,USA,AZ,Phoenix,Scottsdale,1.0,1,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,1.158904109589041,0
14474,Intrinsity,Semiconductors,4000000.0,acquired,USA,TX,Austin,Austin,1.0,1,2008,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,international,2.117808219178082,0
14475,IntroBridge,Mobile,300000.0,closed,GBR,other,Reigate,Reigate,1.0,9,2009,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,european,0.33424657534246577,1
